name,price,location,reviews,link,date
Lenovo Yoga C740 14iML 2in1 Touch i5 10210 8GB 256ssd W10 14.0FHD,11.699.000,Jakarta Utara, 2,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEopyNo_JNH_UDUMVj9RzNrc1i6sJDUSC5rfB7q3YXUsthbm-7q3OBUsthosnfH_Kfo_JRbm-srcHi6syN6mFiy3zwrfo5rM1i6sJOoAJXHArFHZFirpowQcYSUstig9BGqMzUZMggQj2fgAo6QJBkQfBoq_eh_7zoHJOk_9Po8B1h_32-P7NkyfBHe72kgJxGgMHauMxsQ1N5Z325q1O119u6ucPE_92o8jOE_92o8jOE_92oHJB2PfBxHByOgAUN8u2c692gHsBN3Bo-ojBke3BHe72OysUOqB2_Z_g-qjuN_92cQu2kZM2HucWN332SPJNJ1_zqq_Vt392s81h9z9Po8BBE_uPGq7OJ__zoe7BpZ37N83V9gICiQAB03BxmgMV913Bvq1BRZ3BRq3UpZSCqHMhO3Aom83Ua1sVgHO-MyuPzq1Y2Z9P-q9P2ysoGrVtaQIuyH7N5ysomgMV913Bvq1BRZ3BRq3oyuMhsQMhMgJPcQMoNZ_g-QJNc1snhzBzD1MgZu_uUuRBjrO29o9gjQ_xSgurNQBB_gczMZIx11Buj_B-uouuyHchv1jgpQM-IuSuiHO2fZ1xDPBtaz3Ny3IKdyjzcrfUpgAxMzRPN3I2ooJNJ1sxMzRzE3BPj6cgU_sCi17BpZ3N6qMUpZMhyHj2Nysoj8B2_Z_g-qjOR_Sj7oJO1u_zozJJ7_7zVoJOEu926e7BpZ3N6qMUpZMhyH7ND3uxGqMVAZ_g-qjOR_7H781O119PoqMHF_S2sP7Okz_o-QsnYUiFiP9oBrBY2gmUEUsnibm-pg9opq3YX9fBjUstiyu2zPcJaoMVXuJgxguz3PMOer1WdPfO0zc-SzBVkg9xB3VCD3szdgc-p6JgjoABReMrhQM21zStNucjaopnfq3gJq_Ceo9BH9pVX_Age6cNs6coAP1Pi3M4fP_uhb1Ne81YWZaOqujO_QRCMyfg519BNZAx1uVC0_SCVguzvqJFibm-xQcri6i-pPcOwqRoBgOYDHBYDHZUDUMNOQ3-BrBY5gBYxgIHi6sJhbm-XP3Oig9-wy3zp9R-BrZUEHsnDUMoxPVY2gIHi6BDa6_rDHpK7omFp6_KN9ZFiQBYsy3Njq3zxPcuwy3zpUsthHZFiy3-wPcupPmUEUjdibm-FQRo79fVDgaUEUMoFyOYpqcYF9RuXrZUDUSgBrSo2Qfdi6i-fHiUDUMoDP9o7g9-wq3zwPsUi6sHNHpnDUMoxPcuSQR-N9RoOgfPBrRzwy9z7rMBiP9zBUs2QUsHdoAei997?t=desktop&r=https%3A%2F%2Fwww.tokopedia.com%2Froyalltech%2Flenovo-yoga-c740-14iml-2in1-touch-i5-10210-8gb-256ssd-w10-14-0fhd%3Fsrc%3Dtopads&is_search=1&management_type=1&page=5&ob=23&dv=desktop&keywords=lenovo+yoga&src=search,24-11-2020
Lenovo ThinkPad X1 YOGA Core i5 6th 8GB SSD 256GB Full HD OS 10 Mulus,7.990.000,Jakarta Pusat, 1,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEopeh6A17HAKDUMVj9RzNrc1i6sJDUSC5rfB7q3YXUstabm-7q3OBUsthosnfH_Kfo_JRbm-srcHi6seOHmFiy3zwrfo5rM1i6sJ7Hs1XH_1F6mFirpowQcYSUstig9BGqMzUZMggQj2fgAo6QJBkQfBoe7BpZ3O6HcoD692qu7gN3_-Sq1Y2Z9xv1pzE_BzzoJOEgpoozcDa_S2sHJO2Z9o-Q9zDguxjPMoW1MgsHjNfyfOuq1Y2Z9P-q9P2yM7NPujau3Bvq1Bd_32o8V2W39Bg8_nO_3O-oJh11_CvzOB73uPoH7O2H3xozJ7a_92cqu2Je92vzJV2_JoGPMoWQcNxupuM3jP3POKaQcW-qMY2_1o-r7BW69BxufzFyMFNPfoW63Wju7dF3A-Dq7BkQfBoe7BpZ37N83V9gICiQABEy1rNPOKaQcW-qMY2_1o-r7BXzsVq3JtO3AoZqVtp_3Bvq1211Buj_B-uouuyHVgv1sVpQM-IuSuiHO2fZ1xDPBtaz3Ny3IKdu_C3ZVzuujY3zsBGucWZyjta8chiQ_jaySBmo3UagcxGH_JdgjPR8c-I6_oMZIxp_3Fd8jYJ1_CMZIxayp-3QMgU8I2jzpC2_JoG8Bja69BqusB2yf7NHfHau3Bvq1BN_M2CP1NJz_-6zcrh_M2z8jOEz_V-q9P2yp-6PMoWuMgsHBgtyfO6Q7BkQfBoqMrh_c2C8jOJz_-ozcPR_BzVP7Nk13BM1_7YUiFiP9oBrBY2gmUEUsnibm-pg9opq3YX9fBjUstiyu2zPcJaoMVXuJgxguz3PMOer1WdPfO0zc-SzBVkg9xB3VCD3szdgc-p6JgjoABReMrhQM21zStNucjaopnfq3gJq_Ceo9BH9pVX_Age6cNs6coAP1Pi3M4fP_uhb1Ne81YWZaOqujO_QRCMyfg519BNZAx1uVC0_SCVguzvqJFibm-xQcri6i-pPcOwqRoBgOYDHBYDHZUDUMNOQ3-BrBY5gBYxgIHi6sJhbm-XP3Oig9-wy3zp9R-BrZUEHsnDUMoxPVY2gIHi6BDa6_rDHpK7omFp6_Ka9ZFiQBYsy3Njq3zxPcuwy3zpUsthHZFiy3-wPcupPmUEUjdibm-FQRo79fVDgaUEUMoFyOYpqcYF9RuXrZUDUSgBrSo2Qfdi6i-fHiUDUMoDP9o7g9-wq3zwPsUi6sHNHpnDUMoxPcuSQR-N9RoOgfPBrRzwy9z7rMBiP9zBUs2QUsHdoAei997?page=5&r=https%3A%2F%2Fwww.tokopedia.com%2Frojenri79%2Flenovo-thinkpad-x1-yoga-core-i5-6th-8gb-ssd-256gb-full-hd-os-10-mulus%3Fsrc%3Dtopads&is_search=1&ob=23&dv=desktop&keywords=lenovo+yoga&t=desktop&management_type=2&src=search,24-11-2020
lenovo yoga c640,9.980.000,Makassar, 1,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEopyNH_JhoArDUMVj9RzNrc1i6sJDUSC5rfB7q3YXUstpbm-7q3OBUsthosnfH_Kfo_JRbm-srcHi6sHOHmFiy3zwrfo5rM1i6sJpopUXoprNbm-pHOYDQfri6i-B812kgJxGgBBXZSgjH7NDZ325q1O2oAV6zJBE_S2-oJYJz926uV1O_92-H1B2PfBgHO-N3Ao6QVByZM2xe7jfZ32VP7hkz_-vuVJO_uzu81N119Bo8MoEZ3BRq3JausujHsBN3jyN8Bja69Bq17jfZ32Cq1hAZSuiHsuk3Bo-ojBkz9Bo8jgW3M2Gqjh1qRBgqMP7_jzzoV22H3xg8MoN_VPVP7OE392ou720_1zooJOAZ9o-Q_BNyuPjrc-D63Wq3J-MyuPzq1Y2Z9P-q9P2ysoGrVtaQIuyH7-Nys-ZHujp1MgxuOV2_fB-P7B2PfBiH72F3s-DPuKp_MYiH7-MyuPzq1Y2Z9P-q9P2yOx3QcoXQcgjz7gXyRB-ojBD_jgZHAVcuchZgB-uo1x983zp3BrOPMzW6cPBupBX3uojgcgU8VzZu3z61B1OuuKFQJYZzSoXyjP3P3Up3Sg-Zchf3s-VQBxy8AxizJgpysoj6cgIPRBy8j77_jzZ6cgIPI2qufedgjx6Hc-_Z9o-QjNkysoGQVKaZSBiHfzE3Bo-ojBkZ_z61peO_uzS8jOJqpCo8Bud_S2-HJB2PfBsHjNfyfO3gMHauMxsQ1N5Z325q1OkypCHqB1h_BzSP7OEu_zoqBJF_32oH7BXHA7ibm-Orfua9fBjUstiHmUDUSoBrRo2QfNwq3ei6i-x3BV7y_Ufy3N1zMVBuVgfQuChZRxRQ3WJyMPc132B8cuy1chqoIxjySHdzMe769PmgpVXqBzc8sB1q_URHAg2gjz2HVnO81hwH3NHoBndQMHdy7oOzf-qQpgOo9JW_BCN_fObbu23_uo5rcgsgMYz89BU6Vz11cW6rJuBuJYt_mUDUMVDgaUEUSo7QuY0rfuS9fFa9fFhUiFiQSuWyMua9fYM9fVjraUEH_JDUMNOQ3-BrBYxgIowrMuhUstaHmFiyfV79fBjraUE3pUNoaFp6Ae7bAHN6ABPbm-X9foxQMz2gcV7guYxgIHi6sJhbm-xyBY7g9o7Usti_iUDUSC5rRzwy3hSUstiyRCs9RotQRCwP3NhUiFiPMuarfB5QiUEUSyaUiFiyfhOrRzBrBY2gVYfHiUEopUfoiFiyfV7g3P5rSBwrRuSgfupPVYxPIzaq3-OPc1i6BDiHpK7om-Pwe?dv=desktop&keywords=lenovo+yoga&t=desktop&r=https%3A%2F%2Fwww.tokopedia.com%2Frjshopmksr%2Flenovo-yoga-c640%3Fsrc%3Dtopads&src=search&is_search=1&page=5&ob=23&management_type=2,24-11-2020
LENOVO Yoga S940 i7-1065G7 16GB 512GB SSD 4K UHD Win10 + Office,23.499.900,Jakarta Pusat, 1,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEopyF6ArdHsUDUMVj9RzNrc1i6sJDUSC5rfB7q3YXUst7bm-7q3OBUsthosnfH_Kfo_JRbm-srcHi6seOHmFiy3zwrfo5rM1i6sJposKXoA17oiFirpowQcYSUstig9BGqMzUZMggQj2fgAo6QJBkQfBoe7BpZ3O6HcoD692qu7gN3_-Sq1Y2Z9x61pzE_7zzHjO1u92vzVJa_uzu8jYJu3BHe72a3BxDHfUpZMWyH7NkysoGQJBkQfBoe7BpZ37OPM-W_Mh-qMY2_uz-8jO93MOoQ1O7_OzGq1YAHAC6zcxW_VPcqjNEZ9zguJVE_M2o8VBW19Po8MPRZ3BRq3UpZSCqHMhO3A-ZQcoc69Cqe7jfZ32Cq1hAZSgsQ3hXyurOgMoUZSgqZVgkgJyNrV2AZ_g-qjV2_JoGPMoWQcNxupuMyp-tPMoc69Cqe7jfZ32Cq1hAZSxjuOgNguyNHVB9gI2-qMY2u_C3ZVzuujY3zsBcucWjyjta8chiQ_jaySBmo3UagcxGH_Jdgjg6zBUFH1g1QV-M1O1OzuPNgIoqupufgc7dgfu963Ng1fzjgjxdr7O98IgjHRKdyjzGgjOEgpC6ZIKdy_o6QVtp8AxsHO-7Z3BRq3Ha_SgsQugM33NGPMep_Mh-qMY2_32uoJhkgpVvzcHO_92o8jN139BoqMHhZ3BRq3Ha_SgsQugMyp-3qcoW_MY-qMY2_32s8jhk3_uozcWR_BzSH1Nk1_CozVu2gBJYvZUDUSupg9-wq3ei6iUFUiFirfuprfB5QBY2gmUEUMVq19zxHsgxQBzcy3u1uSgW1IVb8IPWq7zig7gzqMudguxeQVt78czirpxcgAeNP7-SH3NkuJgE6uz2HsrFoMBMzcjF1AuN_V4hQjFf1AxXypxseRuIyB25oS1OrZO61IBvQ1DW3Bgo1fYFgMoMQOVN81KduVzeq7NFz3u1_fxHUiFiy3hSUstirRzW9fWpg3PwQA-wQAJibm-XP3Oig9-wQfgwy3zpUsthHZFiQSuWyMua9fVjrOYag9Ji6sUFbm-sy9zwq3zpUs2QHsjRbAHdoAeDHpjdoV7DUMNwyfVXgcBjy9zB9fVjraUEH_JDUMVi9RzBrRei6i-6UiFircYpPVYxQcri6i-srcowrfx5rVYOQSJibm-fg9-pq3YXUstiPsUibm-sQIupPcua9fBj9RyaUstp6_HFbm-sy9zBgfYa8uYpP3PSg9o79fV7PI-2ySu7gZUE3aUp6Ae7UBOY?r=https%3A%2F%2Fwww.tokopedia.com%2Fprinterstore%2Flenovo-yoga-s940-i7-1065g7-16gb-512gb-ssd-4k-uhd-win10-office%3Fsrc%3Dtopads&page=5&is_search=1&keywords=lenovo+yoga&t=desktop&src=search&ob=23&management_type=2&dv=desktop,24-11-2020
"LAPTOP LENOVO YOGA SLIM 7 RYZEN 7-4800U 16GB 1TB SSD 14"" FHD WIN10+OHS",16.499.000,Jakarta Barat, 3,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEoprho_jfHs1DUMVj9RzNrc1i6sJDUSC5rfB7q3YXUstObm-7q3OBUsthosnfH_Kfo_JRbm-srcHi6sHFHmFiy3zwrfo5rM1i6sJpHpyXHpHfoZFirpowQcYSUstig9BGqMzUZMggQj2fgAo6QJBkQfBo8_eF_7z-H1YJyRP6qBJa_S2gHjO1yfBHe72kgJxGgMHauMxsQ1N5Z325q1O2oIB68jjp_32s81NEZ_ooqMoN_S2oq1hAZS-q3cFpysoGqOKp_M2iH72DZ325q1OAZ9o-Q_ufyMO6QJBkQfBouJBE_uPqQ1OW_9zvuJ22_7HFHJNJqcOHu7gk_S2-PVB1e926qjOd33OzP7OEgRP-q9P2ysoGrVtaQIuyHB-Dy7yNrV2AZ_g-qjV2_JoGPMoWQcNxupuMy7xGPB2UuM2jzsBF3jo-ojBke3BHe72fyfODQMV9o3gsHMxfy7yNrV2AZ_g-qjV2_JoG8cz9uSBBusjF3uPj8jBkQfBuHVgUuVu3_Ogc61g1qfziZs-dQc-W6_-i81UOys-jqJthH_xMzjNc1snhzBzD1Mg_u_uVuRBjrO29o9gjQ_xSgurNQBB_gczMZIxp_uPdPMep8AxizJ2M_92SHJNU8AxxH7ND3sod6cHp1Sz-q9P2yp-6PMoWuMggQj2fgAo6QJBkQfBoqMWd_c2sH1OkyRPvzcWd_92zHJOJ_3BHe72E3_UN8u23692qu7gN3_-Sq1Y2Z9B6qMoO_32gH7OEe9xo8B17_uzgH1OEu3BM1_7YUiFiP9oBrBY2gmUEUsnibm-pg9opq3YX9fBjUstiyu2zPcJaoMVXuJgxguz3PMOer1WdPfO0zc-SzBVkg9xB3VCD3szdgc-p6JgjoABReMrhQM21zStNucjaopnfq3gJq_Ceo9BH9pVX_Age6cNs6coAP1Pi3M4fP_uhb1Ne81YWZaOqujO_QRCMyfg519BNZAx1uVC0_SCVguzvqJFibm-xQcri6i-pPcOwqRoBgOYDHBYDHZUDUMNOQ3-BrBY5gBYxgIHi6sJhbm-XP3Oig9-wy3zp9R-BrZUEHsnDUMoxPVY2gIHi6BDa6_rDHpK7omFp6_K79ZFiQBYsy3Njq3zxPcuwy3zpUsthHZFiy3-wPcupPmUEUjdibm-FQRo79fVDgaUEUMoFyOYpqcYF9RuXrZUDUSgBrSo2Qfdi6i-fHiUDUMoDP9o7g9-wq3zwPsUi6sHNHpnDUMoxPcuSQR-N9RoOgfPBrRzwy9z7rMBiP9zBUs2QUsHdoAei997?is_search=1&r=https%3A%2F%2Fwww.tokopedia.com%2Fsinarmulia%2Flaptop-lenovo-yoga-slim-7-ryzen-7-4800u-16gb-1tb-ssd-14-fhd-win10-ohs%3Fsrc%3Dtopads&page=5&ob=23&management_type=1&dv=desktop&src=search&t=desktop&keywords=lenovo+yoga,24-11-2020
LENOVO Yoga C640-13IML i7-10510U/16GB/512GB/W10H/OHS2019,15.199.000,Jakarta Selatan, 1,https://www.tokopedia.com/eprostore-x/lenovo-yoga-c640-13iml-i7-10510u-16gb-512gb-w10h-ohs2019?whid=0,24-11-2020
LAPTOP LENOVO YOGA SLIM 7 FABRIC TOUCH i7-1065G7 16GB 1TB MX350+HS,19.099.000,Jakarta Pusat, 1,https://www.tokopedia.com/ratulaptopstore/laptop-lenovo-yoga-slim-7-fabric-touch-i7-1065g7-16gb-1tb-mx350-hs?whid=0,24-11-2020
Laptop Lenovo YOGA C640-13IML (2KID),12.850.000,Surabaya, 2,https://www.tokopedia.com/disconet/laptop-lenovo-yoga-c640-13iml-2kid?whid=0,24-11-2020
Lenovo Yoga Slim 7-5RID (Grey) Core i5 1035G1 +SSD 512GB +Windows 10,14.552.000,Kab. Sleman, 2,https://www.tokopedia.com/cvkana/lenovo-yoga-slim-7-5rid-grey-core-i5-1035g1-ssd-512gb-windows-10?whid=0,24-11-2020
Lenovo Yoga C640 13IML 0NID i5 10210U 8GB 512ssd 13.3FHD W10,12.999.000,Jakarta Pusat, 9,https://www.tokopedia.com/royallcom/lenovo-yoga-c640-13iml-0nid-i5-10210u-8gb-512ssd-13-3fhd-w10?whid=0,24-11-2020
LAPTOP LENOVO YOGA 260-CORE i5 GEN 6-RAM 8GB-256GB-TOUCHSCREEN-MULUS,7.500.000,Jakarta Pusat, 1,https://www.tokopedia.com/emerick-pc/laptop-lenovo-yoga-260-core-i5-gen-6-ram-8gb-256gb-touchscreen-mulus?whid=0,24-11-2020
"LENOVO Ideapad Yoga C340 14IWL Core i3-8145/8GB/512 SSD/14"" Touch/Pen",8.350.000,Jakarta Pusat, 4,https://www.tokopedia.com/vjnotebook/lenovo-ideapad-yoga-c340-14iwl-core-i3-8145-8gb-512-ssd-14-touch-pen?whid=0,24-11-2020
LENOVO YOGA C740-14IML-7NID X360 I7-10710U|16GB|512 SSD|14 FHD|WIN 10,17.999.000,Jakarta Pusat, 1,https://www.tokopedia.com/gamer--store/lenovo-yoga-c740-14iml-7nid-x360-i7-10710u-16gb-512-ssd-14-fhd-win-10?whid=0,24-11-2020
LENOVO Yoga C740 14iML 2in1 Touch | i5 10210 8GB 256ssd W10 14.0FHD |,11.699.000,Jakarta Utara, 1,https://www.tokopedia.com/archcom/lenovo-yoga-c740-14iml-2in1-touch-i5-10210-8gb-256ssd-w10-14-0fhd-random?whid=0,24-11-2020
Lenovo YOGA C640 13IML 2KID - I5-10210U 8GB 512GB SSD 13.3 FHD W10+OHS,13.399.000,Jakarta Pusat, 1,https://www.tokopedia.com/d-m-i/lenovo-yoga-c640-13iml-2kid-i5-10210u-8gb-512gb-ssd-13-3-fhd-w10-ohs?whid=0,24-11-2020
