name,price,location,sold,link,date
ASUS TUF A15 FX506IV Ryzen 7 4800H 16GB 512ssd RTX2060 6GB W10,17.399.000,Jakarta Utara,25,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEopjfH_1RHAKDUMVj9RzNrc1i6sJDUSC5rfB7q3YXUsthbm-7q3OBUsthosJhHAHdHsn7bm-srcHi6seFHmFiy3zwrfo5rM1i6sJ7H_JX6_JaHZFirpowQcYSUstig9BGqMzUZMggQj2fgAo6QJBkQfBoepe7_uz0HjNEZ9xo8jud_jzsH1NJz3BHe72kgJxGgMHauMxsQ1N5Z325q1Y_oIPvuJJO_1z0P7Y1e_uozcWR_Oz-q1hAZS-q3cFpysoGqOKp_M2iH72DZ325q1OAZ9o-Q_ufyMO6QJBkQfBozJ1a_1z-o1N9z9z68j20_3jFHJOI1M2HuchW_OzgPV2I_Mhvu7BE_jPZQuBkZMh-q9P2ysoGrVtaQIuyHB-Dy7yNrV2AZ_g-qjV2_JoGPMoWQcNxupuMy7xGPB2UuM2jzsBF3jo-ojBke3BHe72fyfODQMV9o3gsHMxfy7yNrV2AZ_g-qjV2_JoG8cz9uSBBusjF3uPj8jBkQfBizJgpysoj6cgIPRBy8j77_jzj6cgc_jgZHAVcuchZgB-uo1x983ztypo38jBU1sVqq3zjgjxduV-ugJNZu_uu3ACD_O-crfNg3JdhyRBmHcz933Ny3IKdy_o6QVtp8AxsHO-7Z3BRq3Ha_SgsQugM33NGPMep_Mh-qMY2_32sH1hku_zoqBJF_S2soJOke9BoqMW2_JoG8Bja69BqusBE3BPc8ujagfBvq1BN_7z-P1OEgRB6zJBd_jz-81NJgp-o8Bu2gBJYvZUDUSupg9-wq3ei6iUFUiFirfuprfB5QBY2gmUEUjV78MNGo9Vu9pBszAeO13PWz1BfHAP1yMoi1c-7yRzCuJN6rfuheu2zZAx5rBVUrV26uSxq6AxO6IxBeuuSu7NzoMgz8M-tgjhfZAg7HBrOuBuqHRu-_fN9oMNcoAx7zVBA3Bu9quu0_SjN_VCgeiO9eSzZ13OM_Ozt1OV2HOo3UiFiy3hSUstirRzW9fWpg3PwQA-wQAJibm-XP3Oig9-wQfgwy3zpUstaHmFiQSuWyMua9fVjrOYag9Ji6sUFbm-sy9zwq3zpUs2QHsjRbAHdoArDoAnF6V7DUMNwyfVXgcBjy9zB9fVjraUEHpHDUMVi9RzBrRei6i-6UiFircYpPVYxQcri6i-srcowrfx5rVYOQSJibm-fg9-pq3YXUstiPsUibm-sQIupPcua9fBj9RyaUst7opJhoiFiyfV7g3P5rSBwrRuSgfupPVYxPIzaq3-OPc1i6BDiHpK7oa-Pwe?dv=desktop&r=https%3A%2F%2Fwww.tokopedia.com%2Ftoptech%2Fasus-tuf-a15-fx506iv-ryzen-7-4800h-16gb-512ssd-rtx2060-6gb-w10%3Fsrc%3Dtopads&ob=23&t=desktop&src=search&is_search=1&keywords=asus+tuf&page=5&management_type=1,19-01-2021
Asus TUF Gaming A15 FX506IV Ryzen 7 4800H 8GB 512ssd RTX2060 6GB Win10,16.899.000,Jakarta Pusat,2,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEopeOopUFo_HDUMVj9RzNrc1i6sJDUSC5rfB7q3YXUstabm-7q3OBUsthosJhHAHdHsn7bm-srcHi6sHOHmFiy3zwrfo5rM1i6sJp6ArXo_efomFirpowQcYSUstig9BGqMzUZMggQj2fgAo6QJBkQfBoe7BpZ3O6HcoD692qu7gN3_-Sq1Y2Z_-HqMrO_M2uH1O1yRB6zJuE_S208jO_Z9o-Q9zDguxjPMoW1MgsHjNfyfOuq1Y2Z9P-q9P2yM7NPujau3Bvq1BR_uzgP7OkqpVg1pnp_3Oz81h119Pqz7O7_OPgo1N2H3WgHB1O332oHV2I3MBoQuu2_JoGPMoWQcNxupuM3jP3POKaQcW-qMY2_1o-r7BW69BxufzFyMFNPfoW63Wju7dF3A-Dq7BkQfBoe7BpZ37N83V9gICiQABEy1rNPOKaQcW-qMY2_1o-r7BXzsVq3JtO3AoZqVtp_3Bvq12p_uPdPMep8AxizJ2M_92SHJdp8AxuHVgUuVu3_Ogc61g1qfziZs-c8Mzy_3PjZVgWZsJh6cgc_jgZHAVcuchZgBouo1u983ztypo38jBU1sVqq3zjgjxdrMHauMNMZIxEgJrFq1hAZS2gHsBN3ByNq3oW6_osHBu2_fB-81N1gRuozV1h_M2so1N1u_-oqBuE_uo-r7BX_M2iH72D3Ao6QVByZM2xe7jfZ32-H7NNoAVozcWN_7zo8jYJZ_u68MHOZ3dFvZUDUSupg9-wq3ei6iUFUiFirfuprfB5QBY2gmUEUjV78MNGo9Vu9pBszAeO13PWz1BfHAP1yMoi1c-7yRzCuJN6rfuheu2zZAx5rBVUrV26uSxq6AxO6IxBeuuSu7NzoMgz8M-tgjhfZAg7HBrOuBuqHRu-_fN9oMNcoAx7zVBA3Bu9quu0_SjN_VCgeiO9eSzZ13OM_Ozt1OV2HOo3UiFiy3hSUstirRzW9fWpg3PwQA-wQAJibm-XP3Oig9-wQfgwy3zpUstaHmFiQSuWyMua9fVjrOYag9Ji6sUFbm-sy9zwq3zpUs2QHsjRbAHdoArDoAnF6V7DUMNwyfVXgcBjy9zB9fVjraUEHpHDUMVi9RzBrRei6i-6UiFircYpPVYxQcri6i-srcowrfx5rVYOQSJibm-fg9-pq3YXUstiPsUibm-sQIupPcua9fBj9RyaUst7opJhoiFiyfV7g3P5rSBwrRuSgfupPVYxPIzaq3-OPc1i6BDiHpK7oa-Pwe?ob=23&management_type=1&r=https%3A%2F%2Fwww.tokopedia.com%2Fcyberpad%2Fasus-tuf-gaming-a15-fx506iv-ryzen-7-4800h-8gb-512ssd-rtx2060-6gb-win10%3Fsrc%3Dtopads&is_search=1&page=5&keywords=asus+tuf&src=search&t=desktop&dv=desktop,19-01-2021
Laptop Asus TUF FX505DT-R565B6T Ryzen 5-3550H SSD GTX 1650 144Hz,11.699.000,Bekasi,2,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUE6AeN6_1hoAHDUMVj9RzNrc1i6sJDUSC5rfB7q3YXUstpbm-7q3OBUsthosJhHAHdHsn7bm-srcHi6seFHmFiy3zwrfo5rM1i6sJp6AJXo_ef6mFirpowQcYSUstig9BGqMzUZMggQj2fgAo6QJBkQfBoq_e7_Bzs8JNJZ_z6ucod_jz-oJN1yfBHe72kgJxGgMHauMxsQ1N5Z325q1NNoAu6uVJh_jzuHJN11_V6zV1F_Bzzq1hAZS-q3cFpysoGqOKp_M2iH72DZ325q1OAZ9o-Q_ufyMO6QJBkQfBozJ1a_1z-o1N9z9z68j20_3jFHJOI1M2HuchW_OzgPV2I_Mhvu7BE_jPZQuBkZMh-q9P2ysoGrVtaQIuyHB-Dy7yNrV2AZ_g-qjV2_JoGPMoWQcNxupuMy7xGPB2UuM2jzsBF3jo-ojBke3BHe72fyfODQMV9o3gsHMxfy7yNrV2AZ_g-qjV2_JoG8cz9uSBBusjF3uPj8jBkQfBizJgpysoj6cgIPRBy8j77_jzj6cgc_jgZHAVcuchZgB-uo1x983ztypo38jBU1sVqq3zjgjxduV-ugJNZu_uu3ACD_O-crfNg3JdhyRBmHcz933Ny3IKdy_o6QVtp8AxsHO-7Z3BRq3Ha_SgsQugM33NGPMep_Mh-qMY2_32gH1hk19PvuJ77_jz-P7N119PoucW2_JoG8Bja69BqusBE3BPc8ujagfBvq1BN_S2gP1OEe_uo8BJa_uz08jOE3_uvuVu2gBJYvZUDUSupg9-wq3ei6iUFUiFirfuprfB5QBY2gmUEUjV78MNGo9Vu9pBszAeO13PWz1BfHAP1yMoi1c-7yRzCuJN6rfuheu2zZAx5rBVUrV26uSxq6AxO6IxBeuuSu7NzoMgz8M-tgjhfZAg7HBrOuBuqHRu-_fN9oMNcoAx7zVBA3Bu9quu0_SjN_VCgeiO9eSzZ13OM_Ozt1OV2HOo3UiFiy3hSUstirRzW9fWpg3PwQA-wQAJibm-XP3Oig9-wQfgwy3zpUstaHmFiQSuWyMua9fVjrOYag9Ji6sUFbm-sy9zwq3zpUs2QHsjRbAHdoArDoAnF6V7DUMNwyfVXgcBjy9zB9fVjraUEHpHDUMVi9RzBrRei6i-6UiFircYpPVYxQcri6i-srcowrfx5rVYOQSJibm-fg9-pq3YXUstiPsUibm-sQIupPcua9fBj9RyaUst7opJhoiFiyfV7g3P5rSBwrRuSgfupPVYxPIzaq3-OPc1i6BDiHpK7oa-Pwe?page=5&management_type=1&dv=desktop&is_search=1&r=https%3A%2F%2Fwww.tokopedia.com%2Fwwweshopcom%2Flaptop-asus-tuf-fx505dt-r565b6t-ryzen-5-3550h-ssd-gtx-1650-144hz%3Fsrc%3Dtopads&ob=23&t=desktop&src=search&keywords=asus+tuf,19-01-2021
ASUS TUF GAMING FX506LI-I55TB6T-O i5 10300H 8GB 512GB GTX1650Ti OHS - Non Bundling,13.630.000,Jakarta Pusat,6,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEopy76_jRo_yDUMVj9RzNrc1i6sJDUSC5rfB7q3YXUst7bm-7q3OBUsthosJhHAHdHsn7bm-srcHi6seFHmFiy3zwrfo5rM1i6sJpo_yX6_Uf6mFirpowQcYSUstig9BGqMzUZMggQj2fgAo6QJBkQfBo8_zE_92o8jOE_92o8jOE_92o8jOE__V-q9P23_oZ8uKp_Mhg3J2ky1o-ojBkZ9u6uVjF_uzC81N13_CouJVN_BzgHJB2PfBxHByOgAUN8u2c692gHsBN3Bo-ojBke3BHe72OysUOqB2_Z_g-qjVd_M2C81Y1uMxHucoN3jz-PJNJeMWg8_nO3M20Hjh91M2quch2_92ZqO2WZ9Bq17BpZ37N83V9gICiQAB03BxmgMV913Bvq1BRZ3BRq3UpZSCqHMhO3Aom83Ua1sVgHO-MyuPzq1Y2Z9P-q9P2ysoGrVtaQIuyH7N5ysomgMV913Bvq1BRZ3BRq3oyuMhsQMhMgJPcQMoNZ_g-Q9PdyjrNHfgU8IooQAxE_7zzHfgU8VzZu3z61B1OuuKFujYZH9oX3ux6H3oNesCjuOBX3Vxd6V1Fujx1uugvujyNZBz01M-GHjgEgVxogfzUuMOGH_JdgjP78B29gAxMZJdFyBo-r7BX_M2iH72D3A-G83UpgI2q17jfZ32-H7OAoAoo8jVN_1zC81YJ_9P6uJJpZ3BRq3Ha_SgsQugMyp-3qcoW_MY-qMY2_32s8Jhk__z6uJOE_BzSoJO1yRP6zJjFZ3dFvZUDUSupg9-wq3ei6iUFUiFirfuprfB5QBY2gmUEUjV78MNGo9Vu9pBszAeO13PWz1BfHAP1yMoi1c-7yRzCuJN6rfuheu2zZAx5rBVUrV26uSxq6AxO6IxBeuuSu7NzoMgz8M-tgjhfZAg7HBrOuBuqHRu-_fN9oMNcoAx7zVBA3Bu9quu0_SjN_VCgeiO9eSzZ13OM_Ozt1OV2HOo3UiFiy3hSUstirRzW9fWpg3PwQA-wQAJibm-XP3Oig9-wQfgwy3zpUstaHmFiQSuWyMua9fVjrOYag9Ji6sUFbm-sy9zwq3zpUs2QHsjRbAHdoArDoAnF6V7DUMNwyfVXgcBjy9zB9fVjraUEHpHDUMVi9RzBrRei6i-6UiFircYpPVYxQcri6i-srcowrfx5rVYOQSJibm-fg9-pq3YXUstiPsUibm-sQIupPcua9fBj9RyaUsta6AHfHiFiyfV7g3P5rSBwrRuSgfupPVYxPIzaq3-OPc1i6BDiHpK7oa-Pwe?dv=desktop&src=search&is_search=1&page=5&ob=23&management_type=1&t=desktop&r=https%3A%2F%2Fwww.tokopedia.com%2Fstudiolaptop%2Fasus-tuf-gaming-fx506li-i55tb6t-o-i5-10300h-8gb-512gb-gtx1650ti-ohs-non-bundling%3Fsrc%3Dtopads&keywords=asus+tuf,19-01-2021
"ASUS TUF FX506LH-i765B6B i7-10750H 8GB 512GB GTX1650 4GB W10 15"" 144Hz",14.150.000,Jakarta Barat,1,https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUE6AnhosU7oAeDUMVj9RzNrc1i6sJDUSC5rfB7q3YXUstObm-7q3OBUsthosJhHAHdHsn7bm-srcHi6seFHmFiy3zwrfo5rM1i6sJpo_JXHseRoiFirpowQcYSUstig9BGqMzUZMggQj2fgAo6QJBkQfBoe7BpZ3O6HcoD692qu7gN3_-Sq1Y2Z9P-q9P2y_-3o3ea69BqzsBE3_UN8u2_Z_g-qjV2_JoGP3Uao32q17jfZ32C8JNke9BvuVgt_Vzs8u2JZ9z6zJ-039jFou2kqp-HuO-k3BzDq1OE1MWqQ1BN3Bo-r7BW69BxufzFyMFNqO2yeMgxuOV2_fB-P7B2PfBiH72F3s-DPuKpeSBiHBUh3_oZgMV913Bvq1BRZ3BRq3UpZSCqHMhO3Ao6QfUpeMgxuOV2_fB-P7B2PfBs3VgDyfNDgMzIzMNs81jfZ3OR8c-I6_oMZIxp_3Fd8jYJ1_oMZIx11Buj_B-uouuyHVgv1sVpQBBy_sVs81UFgVPgQBxy8AxuHVgUuVu3_Ogc6121qO-iZs-c8Mzy_3PjZVgWZsJh6cgIPI2qufedgjx6Hc-_Z9o-QjNkysoGQVKaZSBiHfzE3Bo-ojBkZ_o61pea_M2oH1YJ1_z6qjOE_uzso1N2Z9o-QjNkysoGQVKp_Mhg3J2ky1o-ojBkZ_ooepzN_jz0H1OJe9P6qjOR_S2u8jN_Zsjibm-Orfua9fBjUstiHmUDUSoBrRo2QfNwq3ei6i-CPI2XZsuhuu4Ny7e7ouVSQ1u-PsnRuc-syBCiPco7euz6_SoBr1Vq11KdQR-zZICq_Bgd3sKdP_xdg1VugOP61_gM192iqcgHPjKfPA-9ougu3soOZ1YXupgXzsedPJzgeO2uufBuq7NN61he31UWu7-71BVWgjY1qVozq_o_uiUDUMVDgaUEUSo7QuY0rfuS9fFa9fFhUiFiQSuWyMua9fYM9fVjraUEHsnDUMNOQ3-BrBYxgIowrMuhUstaHmFiyfV79fBjraUE3pUNoaFp6AeRbAeFHAxPbm-X9foxQMz2gcV7guYxgIHi6sHpbm-xyBY7g9o7Usti_iUDUSC5rRzwy3hSUstiyRCs9RotQRCwP3NhUiFiPMuarfB5QiUEUSyaUiFiyfhOrRzBrBY2gVYfHiUEoArhH_yDUMoxPcuSQR-N9RoOgfPBrRzwy9z7rMBiP9zBUs2QUsHdoAri997?keywords=asus+tuf&is_search=1&t=desktop&src=search&r=https%3A%2F%2Fwww.tokopedia.com%2Fterminallaptop%2Fasus-tuf-fx506lh-i765b6b-i7-10750h-8gb-512gb-gtx1650-4gb-w10-15-144hz%3Fsrc%3Dtopads&page=5&ob=23&management_type=2&dv=desktop,19-01-2021
"Asus TUF FX505GM-I7601T [ i7-8750H/8GB/6GB GTX1060/15.6""/W10]",16.520.000,Jakarta Pusat,1,https://www.tokopedia.com/virtustekno/asus-tuf-fx505gm-i7601t-i7-8750h-8gb-6gb-gtx1060-15-6-w10?whid=0,19-01-2021
ASUS TUF Gaming A15 FX506II-R75TB6T R7-4800H|512 SSD|GTX1650Ti|144Hz,15.599.000,Jakarta Pusat,1,https://www.tokopedia.com/kbm24store/asus-tuf-gaming-a15-fx506ii-r75tb6t-r7-4800h-512-ssd-gtx1650ti-144hz?whid=0,19-01-2021
ASUS TUF GAMING A15 FX506IV-R7R6B6T RYZEN 7 4800H 512SSD RTX2060 144Hz,19.599.000,Jakarta Pusat,1,https://www.tokopedia.com/kbm24store/asus-tuf-gaming-a15-fx506iv-r7r6b6t-ryzen-7-4800h-512ssd-rtx2060-144hz?whid=0,19-01-2021
ASUS TUF A15 FX506IV-R7R6B6T RYZEN 7 4800H 8GB 512GB RTX2060 6GB 144HZ,19.499.000,Jakarta Pusat,4,https://www.tokopedia.com/asusbysatuc/asus-tuf-a15-fx506iv-r7r6b6t-ryzen-7-4800h-8gb-512gb-rtx2060-6gb-144hz?whid=0,19-01-2021
Asus TUF FX506IV-R7R6B6T Gaming Laptop - Black,20.299.000,Surabaya,1,https://www.tokopedia.com/androitsto/asus-tuf-fx506iv-r7r6b6t-gaming-laptop-black?whid=0,19-01-2021
ASUS TUF FX505DU-AMD RYZEN 7-3750H-GTX1660TI 6GB- 8GB-256SSD-FHD-W10,13.099.000,Tangerang,1,https://www.tokopedia.com/visionercomputer/asus-tuf-fx505du-amd-ryzen-7-3750h-gtx1660ti-6gb-8gb-256ssd-fhd-w10?whid=0,19-01-2021
ASUS TUF FX505GT I565B6T I5-9300H | 8GB | 512GB | 4GB GTX1650,11.800.000,Jakarta Pusat,1,https://www.tokopedia.com/xtremesystem/asus-tuf-fx505gt-i565b6t-i5-9300h-8gb-512gb-4gb-gtx1650?whid=0,19-01-2021
ASUS TUF GAMING FX506IH R5-4600H RAM 8GB SSD 512GB,13.149.000,Pekanbaru,1,https://www.tokopedia.com/promediacompku/asus-tuf-gaming-fx506ih-r5-4600h-ram-8gb-ssd-512gb?whid=0,19-01-2021
Asus TUF Gaming FX505GD i7 GDDR5X 1050 Not ROG G531GD G531GT GL553VD,12.999.000,Bandung,5,https://www.tokopedia.com/gandante/asus-tuf-gaming-fx505gd-i7-gddr5x-1050-not-rog-g531gd-g531gt-gl553vd?whid=0,19-01-2021
Asus TUF FX506IV-R7R6B6T Ryzen 7 4800H 8GB 512ssd RTX2060 6GB 15.6FHD,19.499.000,Jakarta Utara,1,https://www.tokopedia.com/seits/asus-tuf-fx506iv-r7r6b6t-ryzen-7-4800h-8gb-512ssd-rtx2060-6gb-15-6fhd?whid=0,19-01-2021
